Title,Authors,Citations_counts,Year,Journal,Abstract
THE RELATIONSHIP BETWEEN MANNHEIM'S SOCIOLOGY OF KNOWLEDGE AND HUSSERL'S PHENOMENOLOGY,T Domanlou,0,2017,Research Letter of Political Science,"The Sociology of Knowledge, firstly presented by Max Scheler and Karl Mannheim during the second decade of 20th century, was rooted in the evolution of the social sciences at the latest years of 19th century and formation of the opposite trends named the functionalism and behaviourism. In the field of philosophy, Edmund Husserl introduced phenomenology as an alternative to the classical distinction between ontology and epistemology, and showed a third way to understand the world based on this argument that the meaning of the …"
Essays on the Sociology of Knowledge,K Mannheim,19,1952,Routledge&Kegan Paul,"… tion of one of his most important contributions to sociology, the 'Sociology of Knowledge'. … concerning the sociology of knowledge developed. Mannheim's sociology of knowledge was …"
Giambattista Vico's Sociology of Knowledge,W Stark,10,1969,Giambattista Vico. An international symposium,"… interests are, indeed, more philosophical than sociological, and his book is a discriminating … But it is Vico's sociology that has had the more lasting effect, and it is as a sociologist that he …"
Knowledge as Culture: The new sociology of knowledge,MCE Doyle,16,1996,New York and London: Rutledge Publications,"… This is certainly true of the sociology of knowledge. Today, as I argue here, knowledge is best conceived and studied as culture, and the various types of social knowledges communicate and signal social meanings—such as meanings about power and pleasure, beauty and death, goodness and danger. As powerful … This book’s overall design also includes a view of social science as part of culture and “cultural production” (Peterson 1976; 1994). The social location of ideas and systems of …"
The social construction of reality: A treatise in the sociology of knowledge,NoAuthors,20,1967,NoJournal,"… It uses primarily the theory of symbol systems that constitutes a major part of Chapter II in The Social Construction of Reality, and the internalization processes that constitute Chapter III. …"
"… and Collective Action, The Problem of Altruism, Subjectivity and Social Relations, Power, Action and Belief: A New Sociology of Knowledge?, Foucault, Marxism and …",CE Ashworth et al.,0,1987,The Sociological …,"… meet collective needs that ideally dissolve before social relations … To summarize: I offer that on Hegel‘s view the subjective … Avineri explains, ―is universal altruism—a mode of relating …"
Vidȳas: a homage to Comte and a contribution to sociology of knowledge,GS Ghurye,9,1957,(No Title),"Vidȳas : a homage to Comte and a contribution to sociology of knowledge | CiNii Research … タイトル ""Vidȳas : a homage to Comte and a contribution to sociology of knowledge"" … Indian Sociological Society …"
Preface//Mannheim K. Ideology and utopia: an introduction to the sociology of knowledge,L Wirth,13,1936,NoJournal,… Ideology and utopia; an introduction to the sociology of knowledge / … The language of sociology / … Knowledge resources …
"The Sociology of Knowledge (Glencoe, Ill",W Stark,13,1958,NoJournal,"… Looking at power, gender, and knowledge, we discuss new versions of the standpoint … traditional sociology of knowledge. Finally, we briefly review recent work on informal knowledge. …"
Ideology and Utopia: An Introduction tothe Sociology of Knowledge,K Mannheim,13,1959,Translated from theGerman by Louis Wirth and Edward …,This dissertation explores in an integrative world-historical framework the underlying paradigmatic causes of failure of past utopistic efforts towards a just global society. The conceptual …
"In defence of Karl Mannheim: the sociology of knowledge, epistemology, and methodology",JO HOUSE,5,1977,Sociological Analysis and Theory. A Discussion …,"In Defence of Karl Mannheim: the Sociology of Knowledge, Epistemology, and Methodology … Sociology of knowledge Discipline Sociology …"
New Frontiers in the Sociology of Knowledge,S Woolgar,10,1988,NoJournal,Scholars working in the area broadly described as' social studies of science'have convincingly demonstrated over the past decade that natural scientific knowledge is a product of social…
Ideology and Utopia: An introduction to the sociology of knowledge (New ed.),K Mannheim,11,1991,NoJournal,"… edition into English in 1936. These innovative developments in the sociology of knowledge, the theory of ideology, and … to sociology and as the recognised founder of the sociology of …"
The new sociology of knowledge: The life and work of Peter L,"M Pfadenhauer, PL Berger",9,2013,Berger. New Brunswick,"… is unhappy with the way he and his works are represented. Peter L. Berger made little use of his … However, most of what I believe to have understood from and about Peter L. Berger was …"
The sociology of knowledge,NoAuthors,13,1972,NoJournal,"… boundaries and categories of systems of knowledge are … , and knowledge, we discuss new versions of the standpoint theories that characterized the traditional sociology of knowledge. …"
Some recent developments in the sociology of knowledge and their relevance to the sociology of medicine,PW Wright,6,1979,Ethics in science & medicine,"… Some recent developments in the sociology of knowledge and their relevance to the sociology of medicine Ethics Sci Med. 1979;6(2):93-104. … Sociology, Medical / trends* …"
"The application of principles from the sociology of knowledge for understanding the setting, tradition and theology of the Prophets",GV Smith,5,1989,Journal of the Evangelical Theological Society,… The sociology of knowledge: its structure and its relation to the philosophy of knowledge ; a critical analysis of the systems of Karl Mannheim and Pitirim A. Sorokin … The principles of knowledge / 2 … The principles of knowledge / 1 …
… . A Commentary by the late HH Joachim (Ed. DA Rees). Oxford University Press. Pp. 304. 25s. JACQUES J. MAQUET. The Sociology of Knowledge: Its Structure and …,NoAuthors,0,0,NoJournal,"… To save this article to your Kindle, first ensure coreplatform@cambridge.org is added to your Approved Personal Document E-mail List under your Personal Document Settings on the …"
"Sociality: coordinating bodies, minds and groups.",LR Caporael,54,1995,Psycoloquy,"Posted 2/20/1995 Outlines 3 major topics in sociality theory, roughly corresponding to the interests of biologists, psychologists, and social scientists. These are (1) a multiple levels-of-selection view of Darwinism, part group selectionism, part developmental systems theory;(2) structural and psychological features of repeatedly assembled, concretely situated face-to-face coordination; and (3) superordinate,"" unsituated"" coordination at the level of large-scale societies. Sociality theory predicts a tension, perhaps unresolvable, between the social construction of knowledge, which facilitates coordination within groups, and the negotiation of the habitat, which requires some correspondence with contingencies in specific situations. It is suggested that this tension is relevant to ongoing debates about scientific realism, constructivism, and relativism in the philosophy and sociology of knowledge.(PsycINFO Database Record (c) 2016 APA, all rights reserved)"
Against the sociology of knowledge,K Popper,11,1985,Popper Selections,"… issues of the sociology of knowledge. One could not discuss knowledge, even knowledge as … To speak of knowledge immediately raised the question of the validity or truthfulness of the …"
"… Publishing, 2004. $27.95. Nico Stehr;, Volker Meja. Society and Knowledge: Contemporary Perspectives in the Sociology of Knowledge and Science. Revised 2nd …",J Gregory,0,2007,NoJournal,Society and knowledge : contemporary perspectives in the sociology of knowledge | CiNii Research … Society and knowledge : contemporary perspectives in the sociology of knowledge … 責任表示 edited by Nico Stehr and Volker Meja …
Durekheim's Philosophy of Science and the Sociology of Knowledge: Creating an Intellectual Niche,S Warren,7,1994,NoJournal,"In this demonstration of the link between philosophy of science and scientific practice, Warren Schmaus argues that Durkheim's philosophy is crucial to his sociology. Through a reinterpretation of the relation between Durkheim's major philosophical and sociological works, Schmaus argues that Durkheim's sociology is more than a collection of general observations about society—it reflects a richly constructed theory of the meanings and causes of social life. Schmaus shows how Durkheim sought to make sociology more …"
Anthropologists on Israel: a case study in the sociology of knowledge,T Teeffelen,24,1977,Amsterdam: Antropologish-Sociologish Centrum …,Anthropologists on Israel : a case study in the sociology of knowledge | Wageningen University and Research Library catalog … Anthropologists on Israel : a case study in the sociology of knowledge … Sociology (General) …
Towards the sociology of truth,R Moore,138,2009,NoJournal,"… Towards the sociology of truth … that we cannot do without the concept of truth, that it literally makes no sense to deny the distinction between truth and falsity, or to imply that there is no …"
Sociology of knowledge,S Lundberg,0,2004,NoJournal,"… how social organization influences ideas are at the heart of the new sociology of knowledge. A major pioneer has been David Zaret (1985, 1989, 1991, 1992). The Heavenly Contract (…"
"Knowledge, communication and creativity","M Fournier, A Sales",46,2007,NoJournal,… role of communication in the production of knowledge types. … Another essay in the section then considers the creativity of … in evaluating creativity in the production of knowledge. Let us …
Sociology of Knowledge and Jewish Studies,SA Goldberg,0,2018,Trumah,"Abstract Sa 'adia ben Yosef Ga'on was one of the most outstanding igures of the Geonic period, the leading character of the 10th century's Judaism. Besides his extensive writings in almost every ield of Jewish knowledge, one of Sa 'adia's most innovative contributions was his philosophical treatise, KitÁb al-amÁnÁt wa-li 'tiqÁdÁt, the irst important philosophic book written in the Mu 'tazila school. In the 20th century, the most prominent researchers in Jewish philosophy have tried to trace the sources of Sa 'adia Ga'on's ideas and identify the grounds …"
"Beginnings of the New Sociology of Knowledge: Inﬂuences, Teachers, and Collaborators",W James,0,2017,The New Sociology of Knowledge: The Life and Work …,"The clarity and frequency with which Peter L. Berger refers in his works to the intellectual currents that nurtured his sociology testifies to the influence of the sociology of knowledge on his self-concept. The intellectual traditions that influenced Berger most are associated mainly with the names Max Weber, Emile Durkheim, Karl Marx, Arnold Gehlen, George Herbert Mead, Alfred Schutz, and William James. Berger's affinity with Max Weber was fostered by his Doktorvater Carl Mayer, who was his most important teacher at the Graduate …"
THE EPISTEMOLOGICAL CONSEQUENCES OF THE SOCIOLOGY OF KNOWLEDGE/האטיולוגיה של ההכרה לעומת תורת ההכרה‎,לשק קולאקובסקי,0,1970,עיון,"א. מקור ותוקף ה״ אטיולוגיה של ההכרה״ בוחנת את השפעתם המעוותת או המכוננת של התנאים החברתיים והפסיכולוגיים שבהם נרכשת ונקבעת הזיעה, על תכנה של הזיעה. היא מקיפה תחומים רבים ושונים, כגון הסוציולוגיה של המדע, הפסיכואנאליזה של התיפקודים הקוגניטיביים ותורת ההכרה ההתפתחותית נוסח פיאז׳ ה (שהיא ענף של הפסיכולוגיה הניסויית, ודבר אין לה עם תורת ההכרה הפילוסופית, העוסקת בשאלת האמת). ניתן לסווג את המחקרים האטיולוגים לפי טיבה של ההשפעה הנחקרת בהם ולפי משקלן ותוצאותיהן של ההשפעות הנחקרות בהקשרים ניסיוניים (היסטוריים) שונים. אד אין ענייני בסיווגים. לצורך המאמר די לי בהבחנה, שכבר הבחין מאנהיים, בין השפעה בוררת (סלקטיבית)—הקובעת את תחומי ההתעניינות—לבין השפעה על ה ת כ־ נ י ם עצמם. נהוג לחשוב שההשפעה הבוררת אינה מעלה ואינה מורידה לגבי תורת ההכרה1, אף כי עיון בכתביהם של הוגים כברגסון וכאידוקייביץ׳(Ajdukiewicz) עשוי ללמד שדיעה זו יסודה בטעות. השאלה שברצוני לעורר, וכבר הקדימוני רבים וטובים בשאילתה, היא שאלה עקרונית: האם העובדה שתנאים לא־ קוגניטיביים משפיעים בפועל על"
Medical Knowledge as a Subject of Research in Medical Sociology and Sociology of Knowledge,M Nowakowski,0,2014,Konteksty Społeczne,"Wiedza medyczna przez długi czas nie stanowiła przedmiotu badań socjologów medycyny. Wynikało to z ich przekonania, że medycyna jako nauka przyrodnicza zajmuje się faktami natury, które nie podlegają tezie o społecznej determinacji wiedzy. Celem artykułu jest pokazanie, w jaki sposób przemiany w obrębie socjologii wiedzy, mianowicie powstanie tzw. mocnego programu socjologii wiedzy i społecznego konstrukcjonizmu, umożliwiły powstanie krytycznej socjologii medycyny, która uznała za uprawnione badanie instytucji medycyny i wiedzy medycznej opartej głównie na tzw. modelu biomedycznym."
FLORIAN ZNANIECKI'S SOCIOLOGY OF KNOWLEDGE VERSUS CONSTRUCTIVIST SOCIOLOGY OF SCIENTIFIC KNOWLEDGE (Floriana Znanieckiego wizja …,M Zuber,0,2009,Zagadnienia Naukoznawstwa,"David Bloor, one of the authors of the strong programme for the sociology of science, evoked Florian Znaniecki, together with Emile Durkheim and Karl Mannheim as one of pioneers of the new sociology of science. However, the approach of representatives of SSK (sociology of scientific knowledge) to Znaniecki's oeuvre is somehow ambiguous. The authors of the strong programme do not analyse his works, satisfying themselves with its purely declarative approval. The authoress goal in this article is to point out that if they did study Znaniecki's …"
Shaping the medieval reality: sociology of knowledge and history,T Popić,0,2007,Povijesni prilozi,"Autor u radu razmatra teorijski koncept i praktične primjene sociologije znanja u istraživanjima srednjovjekovne povijesti. Prema tom sociološkom pristupu djelovanje i ponašanje članova neke zajednice određuje korpus društvenoga znanja, a na čelu im se nalaze vladajuće elite koje, ovisno o društvenim okolnostima i svojim realnim interesima, pokušavaju nametnuti vlastite projekcije svakodnevne stvarnosti. U skladu s tim, rad upozorava na različite simbole moći i vlasti putem kojih su društvene elite uspijevale u nastojanjima da učvrste svoju vlast i autoritet u nekoj društvenoj zajednici. Na taj način nudi se drukčiji metodološki pristup proučavanju hrvatskoga srednjovjekovlja, nedovoljno zastupljen u našoj historiografskoj produkciji, koji bi mogao polučiti određene rezultate u istraživanjima odnosa vlasti i moći, vladajućih struktura prema podređenima, kolektivnoga pamćenja i sjećanja te načina na koje elite pridonose njegovu formiranju i mijenjanju."
The Problem of Consistency between Assumptions of Sociology of Knowledge and Assumptions of Philosophical Anthropology (on Example of Max Scheler's Ideas),S Czerniak,0,2004,Zagadnienia Naukoznawstwa,"The author of these considerations puts a question, non-trivial from the point of view of science of science, about relationship of theoretic-methodological consistency between research sub-disciplines regarded by their own creators as discourses of paradigms corresponding to one another in a general philosophical perspective. As a historical example used for this analysis serves the concept of the sociology of knowledge and of the philosophical anthropology, developed-as elements of an overall philosophical perspective …"
Feminist Standpoint Theory: Critique of the Strong Program in Sociology of Knowledge,A Gvozdanović,0,2008,… : studentski časopis za društveno-humanističke teme,"In this paper the author presents critique of the Strong program in sociology of knowledge from the position of the feminist standpoint theory. She outlines the key points of the strong program in sociology of knowledge: causality, impartiality, symmetry and reflexivity. What binds this methodological program and feminist theory is the epistemological credibility that the Strong program gave to the standpoint theory through the principle of equivalence or symmetry. Moreover, the author tries to point out the valueladen implications of epistemological-methodological frames of the Strong program emphasized by standpoint theory. Unlike the Strong program,"
"German Romanticism, the Sociology of Knowledge and Identity Crisis in Wolf's Unter den Linden..... 48",NoAuthors,0,0,NoJournal,"… Linda Gjokaj Faculty Sponsor: Jo Reger Department of Sociology and Anthropology, Oakland University … Christina LaRose Faculty Sponsor: Suzanne Bergeron Department of Women’s Studies and Social Sciences, University of Michigan-Dearborn … Sara Catheryn Wolf Faculty Sponsor: Caroline Jumel Department of Modern Languages and Literatures, Oakland University …"
"Berger, Peter L.–Luckmann, Thomas: The Social Construction of Reality: A Treatise in the Sociology of Knowledge",T Sedová,0,2005,Sociológia-Slovak Sociological Review,"Since our purpose in this treatise is a sociological analysis of the reality of everyday life, more precisely, of knowledge that guides conduct in everyday life, and we are only tangentially interested in how this reality may appear in various theoretical perspectives to intellectuals, we must begin by a clarification of that reality as it is available to the commonsense of the ordinary members of society. How that commonsense reality may be influenced by the theoretical constructions of intellectuals and other merchants of ideas is a further question. Ours is thus an enterprise that, although theoretical in character, is geared to the understanding of a reality that forms the subject matter of the empirical science of sociology, that is, the world of everyday life. It should be evident, then, that our purpose is not to engage in philosophy. All the same, if the reality of everyday life is to be understood, account must be taken of its intrinsic character before we can proceed with sociological analysis proper. Everyday life presents itself as a reality interpreted by men and subjectively meaningful to them as a coherent world. As sociologists we take this reality as the object of our analyses. Within the frame of reference of sociology as an empirical science it is possible to take this reality as given, to take as data particular phenomena arising within it, without further inquiring about the foundations of this reality, which is a philosophical task. However, given the"
… исследования в области образования и социологии знания. Cambridge J. international education research and the sociology of knowledge//J. of research in …,NoAuthors,0,2014,NoJournal,"… Исследования Д. Кембриджа в области международного образования основаны на теории Б… Бернштейна о единичном, региональном и общем кодах знания. …"
Disciplinarity: Functional linguistic and sociological perspectives,"K Maton, F Christie",260,2011,NoJournal,"Sue Bennett is an Associate Professor in the University of Wollongong’s Faculty of Education. Her research draws on sociological and psychological theories to investigate how people interact with and interpret technology in their everyday lives and in educational settings. The aim of this work is to develop a more holistic understanding of people’s technology practices to advance knowledge in this area, and to inform practice and policy. Her work into the role of technology in education across school, university and workplace settings has attracted national competitive grant funding, including for a major study of Living and Learning in a Knowledge Society, and resulted in a significant body of publications.
Rainbow Tsai-Hung Chen obtained her PhD degree from the Faculty of Education at the University of Wollongong, Australia, and is currently a postdoctoral researcher at the Social Sciences Research Center at National Science Council in Taiwan. Her research interests include theory and practice of online education, cross-cultural learning, the sociology of education, and second language education."
"The Social Construction of Reality. A Treatise on sociology of Knowledge. 1966. Бергер П., Лукман Т. Социальное конструирование реальности …","PL Berger, T Luckmann",6,1995,Е. Руткевич. М.:«Медиум,"Социология знания представляет собой одну из самых “философичных” социологических дисциплин, поскольку ее предметом является возникновение и функционирование различных форм мышления и знания в том или ином социально-культурном контексте. К этим формам относятся религиозные и философские учения, научные теории, политические идеологии, художественные произведения и стили искусства и т д. Установление такого рода зависимостей совсем не обязательно означает сведение сложных духовных образований к экономическим мотивам, воле к власти или инстинктивным влечениям. Сам термин “социология знания” был введен М. Шелером, который был принципиальным противником такого рода редукционизма. Затем, во многом благодаря трудам К. Мангейма, это направление приживается в англоязычной социологии. В настоящее время социология знания исследует проблемы детерминации, форм передачи и хранения знания, социальной обусловленности типов мышления в различные периоды истории, типологии производителей знания, институциональных форм духовного творчества и т. д. Тем самым она является как бы ядром целого ряда других социологических дисциплин: социологии науки, религии, искусства, имеющих, однако, свои особенности. Феноменологическая социология знания, сторонниками которой являются авторы книги “Социальное конструирование реальности”, ориентирована не столько на изучение специализированных форм знания, вроде науки, а на “повседневное знание”, реальность “жизненного мира”, предшествующую всем теоретическим системам. При обилии идейных источников, которые рассматриваются в начале книги, главным, безусловно, является феноменология Э. Гуссерля, переработанная А. Шюцем в феноменологическую социологию. Но детальная разработка основных категорий и тем социологии знания в феноменологической перспективе, принадлежит именно П. Бергеру и Т. Лукману. После выхода работы “Социальное конструирование реальности” это направление получает широкую известность и вес в американской и немецкой социологии. Можно сказать, что данное произведение представляет собой достаточно органичное соединение традиций американской социологии и социальной психологии (прежде всего “символического интеракционизма”) с немецкой философией и социологией. Помимо феноменологии Гуссерля, очевидным является влияние на авторов философской антропологии (один из ее основоположников, Г. Плесснер, даже написал предисловие к немецкому изданию книги). Такому синтезу способствует “двуязычие” авторов: П. Бергер в молодости эмигрировал в США из Австрии, Т. Лукман (профессор социологии в Констанце, ФРГ) долгие годы учился и работал в Америке, а основные его труды выходили сначала по-английски, а потом, в авторской редакции, по-немецки. Вряд ли есть смысл пересказывать содержание книги. Она послужила фундаментом для последующих трудов Лукмана по социологии языка и “протосоциологии”, равно как и для многочисленных произведений Бергера в области социологии религии. Бергер является автором целого ряда книг, ставших в США “бестселлерами”:“Священная завеса”,“Слухи об ангелах”,“Еретический императив”,“Пирамиды жертв”,“Капиталистическая революция”. Им написано несколько учебников по социологии. Кроме того, Бергер явля-"
A framework for the feminist anthropology of science,A Knežević,0,2024,The Fifth Conference of the East European Network for …,"This research aims to establish a theoretical framework for the feminist anthropology of science. The research question I will answer is: what does it mean to do anthropology of science as a feminist? The core thesis I will defend goes as follows: feminist anthropology of science investigates contemporary science in practice to uncover gender bias in local scientific cultures or to illuminate whether the knowledge produced by the sciences it investigates is useful for feminist aims. To support my claim, my research strategy consists of …"
Science and anthropology in a post-truth world: A critique of unreason and academic nonsense,H Sidky,10,2020,NoJournal,"At the end of 2019, Americans were living in an era of post-truth characterized by fake news, weaponized lies, alternative facts, conspiracy theories, magical thinking, and irrationalism. While many complex interconnected factors were at work, this post-truth era was partly the culmination of a cadre of anthropologists and other academics in American universities and colleges during the 1980's and 1990's. In Science and Anthropology in a Post-Truth World, H. Sidky examines how their untoward dalliance with problematic and dangerous ideas by …"
Feminism in the House of Anthropology,L Mahmud,29,2021,Annual Review of Anthropology,"Although early feminist insights about reflexivity and fieldwork relations have become core tenets of anthropological theories, feminism itself has been marginalized in anthropology. This review examines feminist contributions to American cultural anthropology since the 1990s across four areas of scholarship: the anthropology of science and medicine, political anthropology, economic anthropology, and ethnography as writing and genre. Treating feminist anthropology as a traveling theory capable of addressing critical social problems …"
"Anthropology, AI and robotics",J Becker,4,2021,The Routledge Social Science Handbook of AI,… the ways anthropologists consider the issues raised by artificial intelligence and robotics. It will try … the emerging issues of artificial intelligence and robotics with classical approaches in …
Anthropology of the Artificial: Material Encounters among Humans and Sentient Machines,"C Salter, A Saunier",0,2023,Visual Anthropology Review,"“Anthropology of the Artificial” is a special section of articles by a collective of anthropologists, sociologists, digital media artists, and computer scientists that address the ever increasing encounters between humans and new kinds of machine systems. The contributions draw on a series of artistic and scientific research programs which call for new ways of thinking about the relations between human and artificial systems, focusing on anthropological encounters with artworks, software/hardware, and the public encounters with such systems in settings ranging from research labs to museums."
Science Studies and the Anthropology of Science,NoAuthors,0,0,NoJournal,This essay explores how the distinctively anthropological concept of culture provides uniquely valuable insights into the workings of science in its cultural context. Recent efforts by …
"The Iranian Metaphysicals: Explorations in Science, Islam, and the Uncanny, Alireza Doostdar, Islamic Studies and the Anthropology of Religion, Princeton, NJ …",A Ghajarjazi,0,2020,Iranian Studies,"What do the occult sciences, séances with the souls of the dead, and appeals to saintly powers have to do with rationality? Since the late nineteenth century, modernizing intellectuals, religious leaders, and statesmen in Iran have attempted to curtail many such practices as"" superstitious,"" instead encouraging the development of rational religious sensibilities and dispositions. However, far from diminishing the diverse methods through which Iranians engage with the immaterial realm, these rationalizing processes have …"
2 The field of Anthropology of Disasters in Brazil,NoAuthors,0,0,NoJournal,"It also has continental territorial dimensions, with a great diversity of ecosystems and biomes. It adopted a politico-economic model that combines capitalistic extractivism and a 19th-century ideology of modernization that prescribes heavyhanded human domination over nature. Moreover, it is one of the most socioeconomically unequal countries on the planet. The conjunction of these three factors generates conditions of vulnerability of a different sort and produce disasters of all types. In spite of the vitality of Brazilian anthropology and of the frequency with which disasters hit Brazilian populations, the field of Anthropology of Disasters in the country is not formalized. This chapter intends to explore the reasons for such a state of affairs, and analyzes recent transformations in the recent Brazilian anthropological panorama in an attempt to forecast the future of this field of research in the country. The main argument of this chapter is organized around two facts: the first is that, despite the systematic historical occurrence of events that typically could be considered as being “disasters”, subsisted in the collective imagination of mainstream society, throughout the 20th century and in the early years of the 21st, the idea that “there are no disasters” in the country. The second is that this fact seems to be undergoing transformation, due to “natural” and “technological” disasters that hit the political and economic centers of the country in the last two decades. Anthropological agendas follow this same path. The underlying questions that deserve exploration, and that will tangentially be addressed in this text, refers to what the conditions and processes are that turn something in the world into an object of anthropological treatment, and what relation this has with"
Aesthetics of the 'Homunculus' of Science,K Fedorova,0,2024,NoJournal,"Ksenia Fedorova 168 contemporary multimedia and technological artists done in close collaboration with scientists (New Anthropology proper, the first floor) and site-specific works reflecting on the history of the place and scientific tradition after Pavlov (Pavlov School, the second floor). In this paper, I analyze selected works from this curatorial project, paying particular attention to artistic tactics of imagining new means of translation of physiological signals. I contend that it is the artists’ special awareness of the constructed nature of the interface that is instrumental in generating new insights about the structures of both physiological processes of sensation, their neurological correlates and, most importantly, scientific models of these processes. Looking for the core of scientific interpretations the artists try to ‘reverse-engineer’them. This recognition of the individual components and ability to reassemble them into a new construction sheds light onto the initial scientific presentation of the work of senses as also a creation, a ‘homunculus’(to use the metaphor coined by Where dogs run, an artistic collective that ran the artist-in-residence program in 2021–2022 at the Institute). Different branches of physiological science construct their versions of how human organism and perceptory apparatus work as a system operated by complex neural networks and electro-chemical communication flows. The models that describe these processes, however accurate and empirically based, remain intrinsically human. Thus, an analogy with the old idea of a homunculus, a speculative artificially created human that can reflect to us our own behavior and allegedly offer additional knowledge, does not seem irrelevant. Scientists project their views of how an organism works onto such hypothetical ‘model being’, which in case of early Soviet science also had ideological underpinnings of creating a new type of human in a new type of society."
Give Me a Laboratory and I Will Rewrite Science,S Restivo,0,2022,Inventions in Sociology: Studies in Science and Society,"This chapter reviews the pioneering ethnographies of science that were a prominent feature of the post-1970s science studies landscape. They helped to upend the reigning Platonic and naïve realist views of science. The ethnographers of science approached their studies at different distances from their subjects. Latour and Woolgar exploited the role of the stranger; other ethnographers were more embedded in the labs they studied. The author discusses the epistemological issues raised by these studies and how they managed the classical emic-etic distinction in cultural studies. The social dimension of science was already imagined in classical anthropology (e.g., Malinowski), but the new ethnographers, empirically embedded in research settings, raised more radical issues about the social construction of facts and reached converging conclusions about scientific practice."
A model of science to base the introduction of aspects of nature of science in teaching contexts and to analyse such contexts,"M Santos, P Maia, R Justi",7,2020,Revista Brasileira de Pesquisa em …,"Some Science Education researchers have emphasised the importance of discussing aspects of Nature of Science, in a contextualised, and/or explicit, and/or integrated manner within science teaching. Distinct alternative approaches, known as contemporary and comprehensive ones, identify what to introduce in science teaching; however, none of them didactically characterise the meaning of such aspects of Nature of Science. Seeking to contribute to filling this gap, in this paper we have adopted one of these approaches as the theoretical background and have expanded it. For this, we have studied each of the disciplinary perspectives that are part in such an approach. Thus, we characterise such disciplinary perspectives, meaning that we identify and detail the meaning of the aspects of Nature of Science related to each of them, as well as their scopes and limitations. This also results in changes to its visual representation, an analogue-based one. As a result, the new approach can be used both by teachers, in planning more authentic teaching situations, and by researchers in analysing data collected in teaching contexts. Both functions are exemplified in this paper, being taken from some studies that have been, or are being, conducted. By discussing both functions, we identify consequences for science teaching in basic education, for teacher education and for research in the area."
Quran and Science Relations in an Epistemological Perspective: Systematic Reconstruction of ' Kawniyyah Verses' Interpretation,NoAuthors,0,0,NoJournal,"Quran is a guide for all aspects of human life, including the field of science. This epistemological study examines the Quran's guidance in the field of science particularly how it can contribute to the development of scientific studies. The results of this study produced collaborative interpretation systematics (qadaya al-tafsîr al-jamā’î), with a core structure comprising of five aspects: 1) Collaborative Interpretation Conception (al-fikrat al-'âmmat li al-tafsîr al-jama'î); the collaboration of a scientific paradigm with a balanced Quranic interpretation paradigm; 2) Collaborative Interpretation Main Provisions (Ushûl al-tafsîr al-jama'î); based on the work process of interpretation, starting from textual interpretation, contextual interpretation, and collaborative interpretation. The three are a work process of interpretation which is not dichotomous but an interpretive process which ideally complements each other. 3) Principles of Collaborative Interpretation (Mabâdiu al-tafsîr al-jama'î), which contains three classifications of principles: Principles of theology of science, the principle of interpretive source stratification (bayânî). 4) Function or Purpose of Collaborative Interpretation (Ahdâf al-tafsîr al-jama'î): Basically, Collaborative interpretation boils down to three functions and objectives, namely: al-tabyîn, al-i'jâz, and istikhrâj al-'ilm. These four aspects are applied in steps and methods of collaborative interpretation (al-tharîqa t wa manhaj al-tafsîr al-jama'î), in seven steps, namely:[1] Determining a specific discussion topic;[2] Analyzing the nature of science or reality on a topic of discussion;[3] Conducting research in the field or laboratory on the topic of discussion;[4] Determining relevant verses to the topic of discussion;[5] Sorting out the method of interpretation;[6] Synthesis of the contextual understanding of the verse related to the nature of the science and the reality of the topic of discussion through the function or purpose of the collaborative interpretation;[7] Following up the results of the synthesis referred to (The next researcher's task in a scientific perspective)."
The field of Anthropology of Disasters in Brazil: challenges and perspectives,R Taddei,12,2019,The Anthropology of Disasters in Latin America,"This chapter explores two facts: the first is that, despite the systematic historical occurrence of events that typically could be considered as being “disasters”, subsisted in the collective imagination of mainstream society, throughout the 20th century and in the early years of the 21st, the idea that “there are no disasters” in the country. The second is that this fact seems to be undergoing transformation, due to “natural” and “technological” disasters that hit the political and economic centers of the country in the last two decades. Droughts occupy a …"
"Astrophysics, anthropology and other imperial pursuits",S Schaffer,4,2020,Anthropology and Science,"This chapter reflects on the relation between anthropology and the sciences. It offers a modest historical reflection on the intriguing claim about colonial projects and the relative standing of their anthropological and scientific enterprises. Because it queries the laboratory's self-evidence and proffers versions of fieldwork as exemplars both for the anthropology of science and the science of anthropology, the chapter tells of a couple of scientific enterprises that have been rarely juxtaposed: field anthropology and observatory …"
Knowing Humanity in the Social World,"FX Remedios, V Dusek",0,2019,… and Analysis Through the Eyes of Christian …,"… Knowing Humanity in the Social World is an apt title for a book about my work, especially one focused on the period after my having founded “social epistemology” as an …"
Common Sense and Science: One World or Two?,FR Emanuilov,0,2024,Čelovek,"… Unhappily, common sense has no recorded history. We often suppose indeed … common sense today has always been common sense to everybody—which certainly is not true. Science …"
"Translations, Betrayals and Controversies in the Articulation of The Uncertainty Principle: Potentialities and Challenges of a Symmetrical History of Physics","N Lima, G Rosa, M Bento",1,2020,Transversal: International Journal for …,"In this paper, we discuss the potentialities and challenges of historical approaches related to the Symmetrical Anthropology proposed by Bruno Latour and collaborators. To accomplish this goal, first, we provide a brief account about how Sociology and Anthropology of Science evolved, stressing how these different movements correlate with historiographical approaches. Second, we introduce the metaphysical scheme of Symmetrical Anthropology and discuss which characteristics a historical narrative should have to be consistent with this world vision. Third, we briefly describe the articulation of the Uncertainty Principle focusing on appropriating such characteristics. Based on this concrete historical account, we discuss the potentialities and challenges of this approach to History of Physics."
